IOCTL_MPIO_PASS_THROUGH_PATH_DIRECT	0x4d040
IOCTL_MTP_CUSTOM_COMMAND	0x3150544d
IOCTL_NDIS_ADD_TDI_DEVICE	0x170014
IOCTL_NDIS_DO_PNP_OPERATION	0x170008
IOCTL_NDIS_ENUMERATE_INTERFACES	0x170010
IOCTL_NDIS_GET_LOG_DATA	0x17001e
IOCTL_NDIS_GET_VERSION	0x170020
IOCTL_NDIS_QUERY_ALL_STATS	0x170006
IOCTL_NDIS_QUERY_GLOBAL_STATS	0x170002
IOCTL_NDIS_QUERY_SELECTED_STATS	0x17000e
IOCTL_NDIS_RESERVED1	0x170024
IOCTL_NDIS_RESERVED10	0x170048
IOCTL_NDIS_RESERVED11	0x17004c
IOCTL_NDIS_RESERVED12	0x170050
IOCTL_NDIS_RESERVED13	0x170054
IOCTL_NDIS_RESERVED14	0x170058
IOCTL_NDIS_RESERVED15	0x17005c
IOCTL_NDIS_RESERVED16	0x170060
IOCTL_NDIS_RESERVED17	0x170064
IOCTL_NDIS_RESERVED18	0x170068
IOCTL_NDIS_RESERVED19	0x17006c
IOCTL_NDIS_RESERVED2	0x170028
IOCTL_NDIS_RESERVED20	0x170070
IOCTL_NDIS_RESERVED21	0x170074
IOCTL_NDIS_RESERVED22	0x170078
IOCTL_NDIS_RESERVED3	0x17002c
IOCTL_NDIS_RESERVED4	0x170030
IOCTL_NDIS_RESERVED5	0x170034
IOCTL_NDIS_RESERVED6	0x178038
IOCTL_NDIS_RESERVED7	0x17003e
IOCTL_NDIS_RESERVED8	0x170040
IOCTL_NDIS_RESERVED9	0x170044
IOCTL_NOTIFY_SWITCH_EVENT	0x294100
IOCTL_PAR_ECP_HOST_RECOVERY	0x160034
IOCTL_PAR_GET_DEFAULT_MODES	0x160028
IOCTL_PAR_GET_DEVICE_CAPS	0x160024
IOCTL_PAR_GET_READ_ADDRESS	0x160038
IOCTL_PAR_GET_WRITE_ADDRESS	0x16003c
IOCTL_PAR_IS_PORT_FREE	0x160054
IOCTL_PAR_PING	0x16002c
IOCTL_PAR_QUERY_DEVICE_ID	0x16000c
IOCTL_PAR_QUERY_DEVICE_ID_SIZE	0x160010
IOCTL_PAR_QUERY_INFORMATION	0x160004
IOCTL_PAR_QUERY_LOCATION	0x160058
IOCTL_PAR_QUERY_RAW_DEVICE_ID	0x160030
